SECTION,FIELD,CONTENT (Tiếng Việt / English)

OVERVIEW,Tên Game,Space Quest
OVERVIEW,Thể Loại,Action / Shoot-em-up (Hành động / Bắn súng)
OVERVIEW,Nền Tảng,Unity 2D
OVERVIEW,Mô Tả,Một game bắn súng chiều ngang (horizontal shooter) nơi người chơi điều khiển một tàu vũ trụ bay vào không gian để chống lại các kẻ thù và chướng ngại vật. Người chơi phải sống sót bằng cách né tránh hoặc tiêu diệt những mối đe dọa. / A horizontal space shooter where players control a spaceship flying through space to fight enemies and obstacles. Players must survive by dodging or destroying threats.
OVERVIEW,Lõi Trò Chơi,Survival + Combat + Progression - người chơi sống sót càng lâu càng tốt, chiến đấu với kẻ thù, và nâng cấp sức mạnh

GAME ELEMENT,Tên,Player (Người Chơi)
GAME ELEMENT,Mô Tả,Nhân vật chính mà người chơi điều khiển - một tàu vũ trụ với khả năng di chuyển 2D (trên/dưới/trái/phải)
GAME ELEMENT,Chức Năng Chính,Điều khiển di chuyển; Bắn phaser; Kích hoạt Boost để tăng tốc độ thế giới
GAME ELEMENT,Thuộc Tính,Health: 5 (tối đa); Energy: 50 (cho boost); Speed: 2; Experience & Level system (tối đa 30 cấp)
GAME ELEMENT,Ghi Chú,Sử dụng Rigidbody2D; Có đạn sáng lên khi bị đánh; Explosion effect khi chết
GAME ELEMENT,IMG,Player_Left animation / Player sprite sheets

GAME ELEMENT,Tên,Phaser Weapon (Vũ Khí Phaser)
GAME ELEMENT,Mô Tả,Hệ thống vũ khí chính của người chơi - bắn các viên đạn phaser năng lượng
GAME ELEMENT,Chức Năng Chính,Bắn đạn về phía trước; Có thể nâng cấp với mỗi cấp độ
GAME ELEMENT,Thuộc Tính,Có nhiều cấp độ với stats khác nhau: tốc độ (speed), sát thương (damage), kích thước (size), số lượng đạn (amount), tầm bắn (range)
GAME ELEMENT,Ghi Chú,Mục tiêu chính là tiêu diệt kẻ thù từ xa; Có thể bắn nhiều viên cùng lúc ở các cấp cao
GAME ELEMENT,IMG,Phaser weapon sprite / Bullet effects

GAME ELEMENT,Tên,Boss 1 (Enemy - Kẻ Thù Chính)
GAME ELEMENT,Mô Tả,Một kẻ thù hùng mạnh xuất hiện sau khi tiêu diệt 5 kẻ thù thường
GAME ELEMENT,Chức Năng Chính,Tấn công người chơi; Có 2 trạng thái (Patrol & Charge); Gây sát thương khi va chạm
GAME ELEMENT,Thuộc Tính,Sát thương cao; HP cao; Có animation Boss1_Charge; Phản ứng với boost của người chơi
GAME ELEMENT,Ghi Chú,Xuất hiện từ phía bên phải; Boss1 animation; Âm thanh bossSpawn và bossCharge
GAME ELEMENT,IMG,Boss1 sprite sheets / Boss1_Charge animation

GAME ELEMENT,Tên,Boss 2 (Enemy - Kẻ Thù Thứ 2)
GAME ELEMENT,Mô Tả,Kẻ thù boss thứ hai với cơ chế khác nhau so với Boss 1
GAME ELEMENT,Chức Năng Chính,Di chuyển theo chiều ngang; Chuyển đổi giữa Idle State (chậm) và Charge State (nhanh)
GAME ELEMENT,Thuộc Tính,Sát thương cao; HP cao; Speed: Idle 0.2f, Charge 3.5-4f
GAME ELEMENT,Ghi Chú,Có animation charging; Hành vi khác biệt so với Boss 1
GAME ELEMENT,IMG,Boss2 sprite sheets

GAME ELEMENT,Tên,Locustmorph (Enemy - Lảng Quăng)
GAME ELEMENT,Mô Tả,Kẻ thù nhỏ di chuyển theo chiều dọc với nhiều biến thể hình ảnh
GAME ELEMENT,Chức Năng Chính,Tấn công người chơi; Chuyển sang Charge Mode khi HP dưới 50%
GAME ELEMENT,Thuộc Tính,Có nhiều biến thể (enemyVariant); Di chuyển Y ngẫu nhiên; Speed X: 0.1-0.6 (Idle), -4 đến -6 (Charge)
GAME ELEMENT,Ghi Chú,Có âm thanh locustCharge khi tấn công; Tự động đảo hướng khi ra khỏi ranh giới màn hình
GAME ELEMENT,IMG,Locustmorph sprites (nhiều frame)

GAME ELEMENT,Tên,Asteroid (Chướng Ngại Vật)
GAME ELEMENT,Mô Tả,Tiểu hành tinh bay qua màn hình gây sát thương cho người chơi
GAME ELEMENT,Chức Năng Chính,Gây sát thương khi va chạm; Bị hủy khi bị bắn; Đốc người chơi nhận kinh nghiệm
GAME ELEMENT,Thuộc Tính,HP: 3 (tối đa); Sát thương: 1; Kinh nghiệm: 1; Kích thước ngẫu nhiên 0.6-1.0
GAME ELEMENT,Ghi Chú,Xuất hiện từ bên trái; Có va chạm vật lý; Có 3 sprite khác nhau được chọn ngẫu nhiên
GAME ELEMENT,IMG,Asteroid sprites (3 loại)

GAME ELEMENT,Tên,Energy System (Hệ Thống Năng Lượng)
GAME ELEMENT,Mô Tả,Thanh năng lượng hiển thị trên UI; Tiêu thụ khi kích hoạt Boost
GAME ELEMENT,Chức Năng Chính,Điều khiển khả năng Boost của người chơi
GAME ELEMENT,Thuộc Tính,Max Energy: 50; Regen Rate: 0.05 per frame; Boost Cost: 0.5 per frame; Yêu cầu tối thiểu 10 để kích hoạt
GAME ELEMENT,Ghi Chú,Hiển thị dưới dạng Slider trên UI; Người chơi không thể Boost nếu năng lượng < 10
GAME ELEMENT,IMG,Energy UI Slider

GAME ELEMENT,Tên,Health System (Hệ Thống Máu)
GAME ELEMENT,Mô Tả,Thanh máu hiển thị trên UI; Giảm khi người chơi bị tấn công
GAME ELEMENT,Chức Năng Chính,Theo dõi sức khỏe của người chơi
GAME ELEMENT,Thuộc Tính,Max Health: 5 (cơ sở); Tăng +1 mỗi lần level up; Giảm 1 khi bị va chạm
GAME ELEMENT,Ghi Chú,Game Over khi Health <= 0; Nâng cấp Health qua LevelUp
GAME ELEMENT,IMG,Health UI Slider

GAME ELEMENT,Tên,Experience & Level System (Hệ Thống Kinh Nghiệm & Cấp Độ)
GAME ELEMENT,Mô Tả,Người chơi nhận kinh nghiệm từ tiêu diệt kẻ thù và nâng cấp
GAME ELEMENT,Chức Năng Chính,Tăng cấp độ → Nâng cấp vũ khí + tăng Health
GAME ELEMENT,Thuộc Tính,Max Level: 30; EXP tăng dần với công thức: playerLevels[i] = playerLevels[i-1] * 1.1 + 15
